	Cycle_ID	Cap_Chg	Cap_DChg	Specific_Capacity-Chg	Specific_Capacity-DChg	Chg/DChg_Efficiency	Engy_Chg	Engy_DChg	REngy_Chg	REngy_Dchg	CC_Chg_Ratio	CC_Chg_Cap	Plat_Cap	Plat_Capacity_Density	Plat_Efficiency	Plat_Time	Capacitance_Chg	Capacitance_DChg	IR	Mid_value_Voltage	Discharge_Fading_Ratio	Charge_Time	Discharge_Time	Charge_IR	Discharge_IR	End_Temperature	Net_Cap_DChg	Net_Engy_DChg
1	0.00	19.60	0.00	19603.77	100.000	0.00	65.71	0.00	65712.05	0.00	0.00	0.00	0.00	0.00	0:00:00.000	0.00	148108.23	0.000	3405.2	100.00	0:00:00.000	3:55:43.000	0.000	440.882	0.0	19.60	65.71	
2	76.47	74.44	76471.73	74442.48	97.346	270.49	261.28	270493.34	261282.79	100.00	76.47	18.29	18291.12	24.57	3:39:56.000	431704.94	413824.80	0.000	3543.5	379.74	15:19:30.000	14:55:06.000	1242.485	250.501	0.0	-2.03	-9.21	
3	75.01	70.76	75006.69	70755.97	94.333	266.13	248.61	266131.82	248610.96	93.18	69.89	17.45	17446.14	24.66	0:29:56.000	434471.58	393878.89	0.000	3550.9	360.93	2:15:55.000	2:01:24.000	730.731	130.195	0.0	-4.25	-17.52	
4	71.13	70.98	71132.76	70979.13	99.784	253.42	249.36	253417.26	249360.57	90.10	64.09	17.48	17475.29	24.62	0:29:59.000	469351.03	396039.76	0.000	3550.9	362.07	2:09:07.000	2:01:47.000	1519.874	137.638	0.0	-0.15	-4.06	
5	71.18	71.13	71180.37	71125.09	99.922	253.52	249.85	253524.65	249848.02	89.99	64.05	17.47	17465.57	24.56	0:29:58.000	468377.52	395566.72	0.000	3550.9	362.81	2:09:09.000	2:02:02.000	1481.270	130.293	0.0	-0.06	-3.68	
6	71.37	71.26	71369.66	71261.17	99.848	254.15	250.32	254147.26	250318.01	89.80	64.09	17.47	17465.63	24.51	0:29:58.000	465033.07	397428.69	0.000	3551.2	363.51	2:09:24.000	2:02:16.000	1435.516	140.175	0.0	-0.11	-3.83	
7	71.42	71.49	71421.78	71485.94	100.090	254.30	251.08	254296.99	251077.49	89.69	64.06	17.47	17465.89	24.43	0:29:58.000	464615.83	398127.15	0.000	3551.2	364.65	2:09:26.000	2:02:39.000	1396.912	140.175	0.0	0.06	-3.22	
8	71.61	71.54	71609.79	71542.81	99.906	254.90	251.27	254897.86	251266.48	89.46	64.06	17.47	17465.59	24.41	0:29:58.000	462661.97	398999.38	0.000	3551.5	364.94	2:09:44.000	2:02:45.000	1355.448	140.175	0.0	-0.07	-3.63	
9	71.62	71.57	71618.29	71571.79	99.935	254.89	251.35	254888.16	251348.12	89.41	64.03	17.48	17475.26	24.42	0:29:59.000	461061.95	398605.28	0.000	3551.2	365.09	2:09:31.000	2:02:48.000	1308.264	130.293	0.0	-0.05	-3.54	
10	71.76	71.65	71761.52	71649.36	99.844	255.37	251.61	255370.93	251606.09	89.33	64.10	17.46	17455.72	24.36	0:29:57.000	458865.84	399593.65	0.000	3551.2	365.49	2:09:58.000	2:02:56.000	1266.800	137.638	0.0	-0.11	-3.76	
11	71.75	71.74	71749.81	71737.07	99.982	255.31	251.92	255307.96	251915.84	89.26	64.04	17.48	17475.29	24.36	0:29:59.000	459362.14	400082.80	0.000	3551.2	365.94	2:09:58.000	2:03:05.000	1268.230	130.326	0.0	-0.01	-3.39	
12	71.83	71.79	71830.58	71785.64	99.937	255.57	252.07	255570.92	252066.44	89.17	64.05	17.45	17446.14	24.30	0:29:56.000	457600.57	399796.24	0.000	3551.5	366.18	2:10:10.000	2:03:10.000	1223.906	130.358	0.0	-0.04	-3.50	
13	71.95	71.88	71945.42	71882.83	99.913	255.96	252.41	255955.58	252405.23	89.06	64.07	17.47	17465.57	24.30	0:29:58.000	455030.76	400895.72	0.000	3551.5	366.68	2:10:26.000	2:03:20.000	1178.153	130.358	0.0	-0.06	-3.55	
14	71.97	71.88	71971.62	71882.75	99.877	256.02	252.39	256023.41	252392.41	89.03	64.07	17.45	17446.14	24.27	0:29:56.000	454717.16	400522.98	0.000	3551.5	366.68	2:10:23.000	2:03:20.000	1156.706	130.261	0.0	-0.09	-3.63	
15	72.04	71.93	72036.31	71930.92	99.854	256.24	252.55	256238.22	252554.04	88.96	64.08	17.45	17446.12	24.25	0:29:56.000	454886.37	400977.55	0.000	3551.5	366.92	2:10:29.000	2:03:25.000	1160.995	130.522	0.0	-0.11	-3.68	
16	72.06	71.96	72058.17	71960.40	99.864	256.29	252.65	256293.88	252649.16	88.93	64.08	17.45	17446.08	24.24	0:29:56.000	454307.20	400955.64	0.000	3551.5	367.07	2:10:33.000	2:03:28.000	1143.838	130.163	0.0	-0.10	-3.64	
17	72.06	72.08	72064.74	72076.97	100.017	256.31	253.06	256309.20	253056.25	88.83	64.01	17.48	17475.28	24.25	0:29:59.000	453079.08	401046.49	0.000	3551.5	367.67	2:10:42.000	2:03:40.000	1125.250	130.228	0.0	0.01	-3.25	
18	72.14	72.07	72136.96	72067.32	99.903	256.54	253.02	256541.35	253015.49	88.83	64.08	17.48	17475.24	24.25	0:29:59.000	452348.09	401551.39	0.000	3551.5	367.62	2:10:29.000	2:03:39.000	1116.671	130.293	0.0	-0.07	-3.53	
19	72.19	72.08	72187.88	72077.55	99.847	256.71	253.05	256711.29	253053.99	88.79	64.09	17.46	17455.91	24.22	0:29:57.000	452430.97	401981.67	0.000	3551.2	367.67	2:10:40.000	2:03:40.000	1099.514	130.195	0.0	-0.11	-3.66	
20	72.22	72.15	72222.73	72154.76	99.906	256.82	253.31	256820.81	253307.04	88.74	64.09	17.47	17465.57	24.21	0:29:58.000	451862.77	401479.35	0.000	3551.5	368.07	2:10:45.000	2:03:48.000	1076.483	130.195	0.0	-0.07	-3.51	
21	72.25	72.17	72252.40	72173.98	99.891	256.90	253.37	256903.72	253372.90	88.69	64.08	17.48	17475.28	24.21	0:29:59.000	448927.58	401772.58	0.000	3551.5	368.16	2:10:48.000	2:03:50.000	1040.892	130.228	0.0	-0.08	-3.53	
22	72.27	72.19	72265.84	72193.62	99.900	256.94	253.45	256943.48	253446.26	88.70	64.10	17.48	17475.29	24.21	0:29:59.000	449011.10	402441.99	0.000	3551.5	368.26	2:10:41.000	2:03:52.000	1036.603	130.457	0.0	-0.07	-3.50	
23	72.25	72.21	72252.59	72214.11	99.947	256.89	253.52	256891.78	253515.89	88.68	64.07	17.48	17475.63	24.20	0:29:59.000	449938.30	402369.29	0.000	3551.5	368.37	2:10:42.000	2:03:54.000	1042.322	130.195	0.0	-0.04	-3.38	
24	72.23	72.23	72232.30	72233.46	100.002	256.81	253.59	256806.13	253588.01	88.65	64.04	17.47	17465.81	24.18	0:29:58.000	448338.41	402664.09	0.000	3551.5	368.47	2:10:39.000	2:03:56.000	1019.445	130.163	0.0	0.00	-3.22	
25	72.31	72.22	72310.04	72222.76	99.879	257.07	253.54	257074.03	253541.26	88.61	64.07	17.46	17455.86	24.17	0:29:57.000	448125.55	402791.53	0.000	3551.5	368.41	2:10:55.000	2:03:55.000	1002.288	130.457	0.0	-0.09	-3.53	
26	72.34	72.25	72342.72	72249.60	99.871	257.18	253.62	257176.56	253623.01	88.60	64.09	17.48	17475.08	24.19	0:29:59.000	448096.70	402007.06	0.000	3551.5	368.55	2:11:01.000	2:03:58.000	993.709	130.358	0.0	-0.09	-3.55	
27	72.32	72.26	72319.16	72255.16	99.912	257.07	253.63	257072.88	253633.31	88.59	64.07	17.47	17472.22	24.18	0:29:59.000	445269.30	402598.00	0.000	3551.2	368.58	2:10:52.000	2:03:59.000	965.251	137.776	0.0	-0.06	-3.44	
