Cycle_ID	Step_ID	Step_Type	Step_Time	Capacity	Capacity_Density	Energy	CmpEngergy	Capacitance	Start_Voltage	End_Voltage	Start_Temperature	End_Temperature	End_Capacity	Charge_Mid-Vol	Discharge_Mid-Vol	DCIR	ChargeCap	DischargeCap	Engy_Chg	Engy_DChg	Net_DischargeCap	Net_Engy_DChg
1	1	Rest  	0:01:00.000	0.00	0.00	0.00	0.00	0.00	3478.7	3478.7	0.0	0.0	0.00	0.0	0.0	-	0.00	0.00	0.00	0.00	0.00	0.00	
1	2	CC_DChg  	3:55:43.000	19.60	19603.77	65.71	65712.05	148108.23	3476.5	3000.0	0.0	0.0	19.60	0.0	3405.2	440.882	0.00	19.60	0.00	65.71	19.60	65.71	
2	3	CC_Chg  	15:19:30.000	76.47	76471.73	270.49	270493.34	431704.94	3012.4	3650.1	0.0	0.0	76.47	3578.2	0.0	1242.485	76.47	0.00	270.49	0.00	-76.47	-270.49	
2	4	CC_DChg  	14:55:06.000	74.44	74442.48	261.28	261282.79	413824.80	3647.6	3000.0	0.0	0.0	74.44	0.0	3543.5	250.501	0.00	74.44	0.00	261.28	74.44	261.28	
3	5	CCCV_Chg  	2:15:55.000	75.01	75006.69	266.13	266131.82	434471.58	3029.2	3650.7	0.0	0.0	75.01	3577.6	0.0	730.731	75.01	0.00	266.13	0.00	-75.01	-266.13	
3	6	CC_DChg  	2:01:24.000	70.76	70755.97	248.61	248610.96	393878.89	3645.5	2998.8	0.0	0.0	70.76	0.0	3550.9	130.195	0.00	70.76	0.00	248.61	70.76	248.61	
4	7	CCCV_Chg  	2:09:07.000	71.13	71132.76	253.42	253417.26	469351.03	3105.1	3650.7	0.0	0.0	71.13	3589.7	0.0	1519.874	71.13	0.00	253.42	0.00	-71.13	-253.42	
4	8	CC_DChg  	2:01:47.000	70.98	70979.13	249.36	249360.57	396039.76	3645.2	3000.0	0.0	0.0	70.98	0.0	3550.9	137.638	0.00	70.98	0.00	249.36	70.98	249.36	
5	9	CCCV_Chg  	2:09:09.000	71.18	71180.37	253.52	253524.65	468377.52	3103.6	3650.7	0.0	0.0	71.18	3589.4	0.0	1481.270	71.18	0.00	253.52	0.00	-71.18	-253.52	
5	10	CC_DChg  	2:02:02.000	71.13	71125.09	249.85	249848.02	395566.72	3645.5	2998.2	0.0	0.0	71.13	0.0	3550.9	130.293	0.00	71.13	0.00	249.85	71.13	249.85	
6	11	CCCV_Chg  	2:09:24.000	71.37	71369.66	254.15	254147.26	465033.07	3098.6	3651.1	0.0	0.0	71.37	3588.7	0.0	1435.516	71.37	0.00	254.15	0.00	-71.37	-254.15	
6	12	CC_DChg  	2:02:16.000	71.26	71261.17	250.32	250318.01	397428.69	3645.5	3000.0	0.0	0.0	71.26	0.0	3551.2	140.175	0.00	71.26	0.00	250.32	71.26	250.32	
7	13	CCCV_Chg  	2:09:26.000	71.42	71421.78	254.30	254296.99	464615.83	3097.7	3651.1	0.0	0.0	71.42	3588.4	0.0	1396.912	71.42	0.00	254.30	0.00	-71.42	-254.30	
7	14	CC_DChg  	2:02:39.000	71.49	71485.94	251.08	251077.49	398127.15	3645.5	2999.1	0.0	0.0	71.49	0.0	3551.2	140.175	0.00	71.49	0.00	251.08	71.49	251.08	
8	15	CCCV_Chg  	2:09:44.000	71.61	71609.79	254.90	254897.86	462661.97	3093.9	3651.1	0.0	0.0	71.61	3587.5	0.0	1355.448	71.61	0.00	254.90	0.00	-71.61	-254.90	
8	16	CC_DChg  	2:02:45.000	71.54	71542.81	251.27	251266.48	398999.38	3645.5	3000.0	0.0	0.0	71.54	0.0	3551.5	140.175	0.00	71.54	0.00	251.27	71.54	251.27	
9	17	CCCV_Chg  	2:09:31.000	71.62	71618.29	254.89	254888.16	461061.95	3091.5	3650.7	0.0	0.0	71.62	3587.2	0.0	1308.264	71.62	0.00	254.89	0.00	-71.62	-254.89	
9	18	CC_DChg  	2:02:48.000	71.57	71571.79	251.35	251348.12	398605.28	3645.5	2999.1	0.0	0.0	71.57	0.0	3551.2	130.293	0.00	71.57	0.00	251.35	71.57	251.35	
10	19	CCCV_Chg  	2:09:58.000	71.76	71761.52	255.37	255370.93	458865.84	3087.7	3650.7	0.0	0.0	71.76	3586.9	0.0	1266.800	71.76	0.00	255.37	0.00	-71.76	-255.37	
10	20	CC_DChg  	2:02:56.000	71.65	71649.36	251.61	251606.09	399593.65	3645.2	2999.7	0.0	0.0	71.65	0.0	3551.2	137.638	0.00	71.65	0.00	251.61	71.65	251.61	
11	21	CCCV_Chg  	2:09:58.000	71.75	71749.81	255.31	255307.96	459362.14	3088.4	3650.7	0.0	0.0	71.75	3586.9	0.0	1268.230	71.75	0.00	255.31	0.00	-71.75	-255.31	
11	22	CC_DChg  	2:03:05.000	71.74	71737.07	251.92	251915.84	400082.80	3645.5	3000.0	0.0	0.0	71.74	0.0	3551.2	130.326	0.00	71.74	0.00	251.92	71.74	251.92	
